round,time,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation
1,2022-06-19 01:00:00+09:00,6.0,20.03,93.0,1009.0,3.01,162.0,0.0,0.0,18.3333,16.0934,0.0,6.70428,-31.5296
1,2022-06-19 02:00:00+09:00,7.0,19.88,95.0,1009.0,3.16,159.0,0.0,0.0,18.3333,16.0934,0.0,22.1964,-28.4404
1,2022-06-19 03:00:00+09:00,17.0,19.99,96.0,1008.0,2.92,161.0,0.0,0.0,18.3333,16.0934,0.0,35.9194,-22.4374
1,2022-06-19 04:00:00+09:00,100.0,20.19,96.0,1008.0,2.79,157.0,0.0,0.0,17.7778,16.0934,0.0,47.5577,-14.2214
1,2022-06-19 05:00:00+09:00,100.0,20.34,95.0,1008.0,2.74,156.0,0.0,0.0,18.3333,16.0934,0.0,57.3782,-4.4447
1,2022-06-19 06:00:00+09:00,100.0,20.45,94.0,1008.0,2.55,144.0,0.0,0.0,18.8889,16.0934,0.0,65.8614,6.39544
1,2022-06-19 07:00:00+09:00,100.0,20.65,94.0,1009.0,1.98,160.0,0.0,0.0,19.4444,16.0934,0.0,73.5196,17.9461
1,2022-06-19 08:00:00+09:00,100.0,20.84,93.0,1008.0,2.44,168.0,0.0,0.0,19.4444,16.0934,1.0,80.8871,29.9536
1,2022-06-19 09:00:00+09:00,100.0,20.92,93.0,1008.0,3.21,184.0,0.0,0.0,18.8889,16.0934,1.0,88.6491,42.2134
1,2022-06-19 10:00:00+09:00,100.0,21.09,92.0,1008.0,2.87,187.0,0.0,0.0,18.3333,16.0934,3.0,98.0436,54.5033
1,2022-06-19 11:00:00+09:00,100.0,21.51,89.0,1008.0,2.37,187.0,0.0,0.0,18.3333,16.0934,5.0,112.342,66.4014
1,2022-06-19 12:00:00+09:00,88.0,22.34,84.0,1008.0,1.61,179.0,0.0,0.0,18.3333,16.0934,11.0,143.612,76.3123
1,2022-06-19 13:00:00+09:00,72.0,23.17,81.0,1007.0,2.53,192.0,0.0,0.0,17.7778,16.0934,11.0,207.104,77.44
1,2022-06-19 14:00:00+09:00,67.0,23.89,78.0,1006.0,4.47,185.0,0.0,0.0,18.8889,16.0934,8.0,244.082,68.3532
1,2022-06-19 15:00:00+09:00,56.0,24.34,76.0,1006.0,5.12,181.0,0.0,0.0,18.3333,16.0934,5.0,259.989,56.6154
1,2022-06-19 16:00:00+09:00,1.0,24.37,76.0,1006.0,4.72,178.0,0.0,0.0,18.3333,16.0934,3.0,269.895,44.3523
1,2022-06-19 17:00:00+09:00,3.0,24.25,76.0,1006.0,4.47,180.0,0.0,0.0,18.3333,16.0934,2.0,277.825,32.07
1,2022-06-19 18:00:00+09:00,3.0,23.94,78.0,1005.0,4.09,170.0,0.0,0.0,18.8889,16.0934,1.0,285.204,20.0055
1,2022-06-19 19:00:00+09:00,7.0,23.44,81.0,1005.0,3.45,170.0,0.0,0.0,18.8889,16.0934,0.0,292.772,8.36063
1,2022-06-19 20:00:00+09:00,6.0,22.54,86.0,1005.0,3.54,165.0,0.0,0.0,18.8889,16.0934,0.0,301.076,-2.62317
1,2022-06-19 21:00:00+09:00,5.0,21.71,90.0,1006.0,2.72,154.0,0.0,0.0,18.8889,16.0934,0.0,310.629,-12.6137
1,2022-06-19 22:00:00+09:00,0.0,21.38,93.0,1006.0,2.77,136.0,0.0,0.0,19.4444,16.0934,0.0,321.922,-21.141
1,2022-06-19 23:00:00+09:00,1.0,20.96,95.0,1006.0,3.05,131.0,0.0,0.0,18.8889,16.0934,0.0,335.283,-27.5771
1,2022-06-20 00:00:00+09:00,5.0,20.73,96.0,1006.0,2.94,125.0,0.0,0.0,18.8889,16.0934,0.0,350.525,-31.2142
1,2022-06-20 01:00:00+09:00,74.0,20.89,94.0,1006.0,1.81,121.0,0.0,0.0,21.1111,16.0934,0.0,6.64429,-31.5196
1,2022-06-20 02:00:00+09:00,77.0,20.74,95.0,1005.0,1.77,138.0,0.0,0.0,20.5556,14.7416,0.0,22.1373,-28.4431
1,2022-06-20 03:00:00+09:00,79.0,20.58,96.0,1005.0,1.55,94.0,0.0,0.0,20.5556,13.4058,0.0,35.8651,-22.4511
1,2022-06-20 04:00:00+09:00,100.0,20.57,96.0,1005.0,1.9,81.0,0.0,0.0,20.5556,12.0701,0.0,47.5093,-14.2435
1,2022-06-20 05:00:00+09:00,98.0,20.44,96.0,1005.0,1.51,98.0,0.0,0.0,20.0,10.7182,0.0,57.3346,-4.47298
1,2022-06-20 06:00:00+09:00,99.0,20.56,95.0,1005.0,1.81,65.0,0.0,0.0,20.5556,9.38248,0.0,65.8211,6.36272
1,2022-06-20 07:00:00+09:00,99.0,20.92,93.0,1006.0,1.6,67.0,0.0,0.0,21.1111,8.04672,0.0,73.4805,17.9103
1,2022-06-20 08:00:00+09:00,99.0,21.35,91.0,1006.0,1.13,97.0,0.0,0.0,20.5556,8.04672,1.0,80.8466,29.9158
1,2022-06-20 09:00:00+09:00,96.0,21.91,89.0,1006.0,0.43,67.0,0.0,0.0,20.0,8.04672,1.0,88.6034,42.1746
1,2022-06-20 10:00:00+09:00,36.0,22.48,87.0,1005.0,0.43,240.0,0.0,0.0,18.8889,8.04672,2.0,97.9845,54.465
1,2022-06-20 11:00:00+09:00,20.0,23.01,85.0,1005.0,1.58,271.0,0.0,0.0,18.3333,8.04672,3.0,112.247,66.3671
1,2022-06-20 12:00:00+09:00,20.0,23.49,83.0,1005.0,3.02,272.0,0.0,0.0,18.8889,8.04672,3.0,143.407,76.296
1,2022-06-20 13:00:00+09:00,22.0,23.8,82.0,1004.0,3.97,293.0,0.0,0.0,20.5556,8.04672,3.0,206.917,77.4711
1,2022-06-20 14:00:00+09:00,20.0,23.9,82.0,1004.0,4.18,280.0,0.0,0.0,21.1111,8.04672,3.0,244.027,68.4002
1,2022-06-20 15:00:00+09:00,17.0,23.72,82.0,1004.0,4.05,272.0,0.0,0.0,21.6667,8.04672,2.0,259.964,56.6647
1,2022-06-20 16:00:00+09:00,2.0,23.47,82.0,1004.0,3.4,270.0,0.0,0.0,21.6667,8.04672,1.0,269.878,44.4018
1,2022-06-20 17:00:00+09:00,1.0,23.41,82.0,1003.0,2.93,268.0,0.0,0.0,21.1111,8.04672,1.0,277.809,32.1192
1,2022-06-20 18:00:00+09:00,1.0,23.22,82.0,1003.0,2.45,275.0,0.0,0.0,20.5556,8.04672,0.0,285.187,20.0539
1,2022-06-20 19:00:00+09:00,1.0,22.96,84.0,1004.0,1.69,280.0,0.0,0.0,20.5556,11.2654,0.0,292.752,8.40755
1,2022-06-20 20:00:00+09:00,1.0,22.32,85.0,1004.0,1.25,323.0,0.0,0.0,21.1111,11.2654,0.0,301.052,-2.57857
1,2022-06-20 21:00:00+09:00,1.0,22.15,85.0,1004.0,1.25,322.0,0.0,0.0,21.1111,11.2654,0.0,310.598,-12.5727
1,2022-06-20 22:00:00+09:00,0.0,22.07,85.0,1005.0,1.89,323.0,0.0,0.0,21.1111,11.2654,0.0,321.883,-21.1057
1,2022-06-20 23:00:00+09:00,0.0,21.83,86.0,1005.0,1.47,350.0,0.0,0.0,21.1111,9.65606,0.0,335.235,-27.55
1,2022-06-21 00:00:00+09:00,13.0,21.85,86.0,1005.0,1.45,90.0,0.0,0.0,20.5556,9.65606,0.0,350.468,-31.1982
1,2022-06-21 01:00:00+09:00,10.0,20.85,94.0,1003.0,3.7,92.0,0.0,0.0,20.5556,9.65606,0.0,6.58502,-31.5164
